BirthYear,animalGender,AnimalName,DogCount
1974,F,PEPPER,1
1974,F,PIEPRE,1
1974,F,PINKY,1
1974,F,POLLY,1
1974,F,POOKIE,1
1974,F,PRINCESS,1
1974,F,PUFFY,1
1974,F,RAGS,1
1974,F,RASCAL,1
1974,F,SAADY,1
1974,F,SABRA,1
1974,F,SHADOW,1
1974,F,SHORTY,1
1974,F,SNOOPEY,1
1974,F,SNOOPY,1
1974,F,SPUNKY,1
1974,F,TABATHA,1
1974,F,TIPPY,1
1974,F,TRINIE,1
1974,F,VENUS,1
1974,F,VERONICA,1
1974,F,WILLEMENIA,1
1974,F,WINDY,1
1974,M,ADOPTION,1
1974,M,ALFIE,1
1974,M,ARFY,1
1974,M,BAMBI,1
1974,M,BAMBOO,1
1974,M,BARNADY,1
1974,M,BEAU,1
1974,M,BENJI,1
1974,M,BENJIE,1
1974,M,BILLBO,1
1974,M,BLACKIE,1
1974,M,BLACKY,1
1974,M,BOODLES,1
1974,M,BOOMER,1
1974,M,BRANDY,3
1974,M,BROWNIE,2
1974,M,CAESAR,1
1974,M,CASPER,1
1974,M,CAVALIERO,1
1974,M,CHAD,1
1974,M,CHAICI,1
1974,M,CHAPOO,1
1974,M,CHESTER,1
1974,M,CHICO,1
1974,M,CLYDE,1
1974,M,CURLY,2
1974,M,DINO,1
1974,M,DUKE,1
1974,M,EVIL,1
1974,M,FILIX,1
1974,M,FLEX,1
1974,M,FLOOPY,1
1974,M,FRAZER,1
1974,M,FRISKY,1
1974,M,FRITZ,1
1974,M,GAU,1
1974,M,GOLDIE,1
1974,M,GRUFFY,1
1974,M,HOLIDAY,1
1974,M,JENUE,1
1974,M,JET,1
1974,M,KELLY,1
1974,M,LEO,1
1974,M,LORD,1
1974,M,LUCKY,1
1974,M,MAX,1
1974,M,MIDNIGHT,1
1974,M,MIKE,2
1974,M,MOULIE,2
1974,M,MR,1
1974,M,NAME NOT PROVIDED,1
1974,M,NIKKI,1
1974,M,NIKOLAS,1
1974,M,PENNY,1
1974,M,PEPPER,1
1974,M,PEPPY,1
1974,M,PETY,1
1974,M,POCHI,1
1974,M,POOCHIE,1
1974,M,POPCORN,1
1974,M,PRINCE,2
1974,M,PUCHI,1
1974,M,RED,2
1974,M,REDDY,1
1974,M,ROCKY,1
1974,M,ROSCO,1
1974,M,RUSTY,2
1974,M,SAM,1
1974,M,SASSEY,1
1974,M,SHADOW,1
1974,M,SHOOPY,1
1974,M,SKIPPY,2
1974,M,SNAPER,1
1974,M,SNOOPY,3
1974,M,SPANKY,1
1974,M,SPARKY,1
1974,M,SUNSHINE,1
1974,M,SUTTON,1
1974,M,TEDDY,1
1974,M,TERRY,1
1974,M,TIGER,1
1974,M,TUFFY,1
1975,F,ADOPTION,1
1975,F,AGATHA,1
1975,F,ALYOSHA,1
1975,F,ARIEL,1
1975,F,ASHA,1
1975,F,BABETTE,2
1975,F,BAMBY,1
1975,F,BARETTA,1
1975,F,BARREL,1
1975,F,BEE-BEE,1
1975,F,BETSY,1
1975,F,BLACKIE,1
1975,F,BO-BO,1
1975,F,BOBO,1
1975,F,BOOBOO,1
1975,F,BOZO,1
1975,F,BRAMBLY,1
1975,F,BRANDY,2
1975,F,BRIDGET,1
1975,F,BROWNIE,2
1975,F,BUFFY,2
1975,F,BUTTERSCHO,1
1975,F,CHANUK,1
1975,F,CHARLIE,1
1975,F,CHI,1
1975,F,CHICKIE,1
1975,F,CHIPPY,1
1975,F,CHIQUITA,2
1975,F,CINDY,1
1975,F,CINNAMON,1
1975,F,CLEO,1
1975,F,COCOA,1
1975,F,CODKY,1
1975,F,COOKIE,1
1975,F,CRACKERS,1
1975,F,CUDDLES,1
1975,F,CUTIMBA,1
1975,F,CYRSTAL,1
1975,F,DAISY,1
1975,F,DELILAH,2
1975,F,DIANA,1
1975,F,DITA,1
1975,F,DUFFY,1
1975,F,DUTCHESS,1
1975,F,EBONY,1
1975,F,ELVIRA,1
1975,F,ERIN,1
1975,F,ETHEL,1
1975,F,FANNIE,1
1975,F,FANNY,1
1975,F,FLUFFY,3
1975,F,FRISK,1
1975,F,GESELA,1
1975,F,GESHIA,1
1975,F,GIGET,1
1975,F,GIGI,2
1975,F,GINA,1
1975,F,GINGER,1
1975,F,GIRL,2
1975,F,GIRLIE,1
1975,F,JOY,1
1975,F,JUICE,1
1975,F,KATHY,1
1975,F,KIMBA,1
1975,F,LACEY,2
1975,F,LADY,6
1975,F,LASY,1
1975,F,LESHA,1
1975,F,LOP,1
1975,F,LUCKY,1
1975,F,LULU,1
1975,F,MAGIC,1
1975,F,MARTHA,1
1975,F,MATALDA,1
1975,F,MEI,1
1975,F,MELONY,1
1975,F,MIMI,1
1975,F,MINNIE,1
1975,F,MINTO,1
1975,F,MISSY,4
1975,F,MOOKIE,1
1975,F,MUFFIN,2
1975,F,MUNECA,2
1975,F,NADJA,1
1975,F,NATASHA,1
1975,F,NEGRA,1
1975,F,NONAME,1
1975,F,NORTON,1
1975,F,PADDY,1
1975,F,PATCHES,2
1975,F,PEACHES,1
1975,F,PENNY,1
1975,F,PEPPER,2
1975,F,PHEOBE,1
1975,F,PIPPIN,1
1975,F,PIXIE,1
1975,F,PJ,1
1975,F,POCHA,1
1975,F,POM,1
1975,F,POOCAE,1
1975,F,POOCHIE,1
1975,F,POOKIE,1
1975,F,POOP,1
1975,F,PRINCESS,4
1975,F,PUDGY,1
1975,F,PUFF,1
1975,F,PUGSLEY,1
1975,F,PUNKY,1
1975,F,PUPPY,1
1975,F,QUEENIE,3
1975,F,RANDY,1
1975,F,ROSINA,1
1975,F,RUFFIAN,2
1975,F,RUSTY,1
1975,F,SAKI,1
1975,F,SAMMIE,2
1975,F,SANDY,1
1975,F,SAPHIRE,1
1975,F,SHADOW,2
1975,F,SHASTA,1
1975,F,SHEBA,1
1975,F,SIMONE,1
1975,F,SINTU,1
1975,F,SNOWIE,1
1975,F,SUGAR,1
1975,F,SUSIE,1
1975,F,SZA,1
1975,F,TAFFIE,1
1975,F,TAFFY,1
1975,F,TANYA,1
1975,F,TAPPY,1
1975,F,TEBBIE,1
1975,F,TERRY,1
1975,F,THREE,1
1975,F,TINKER,1
1975,F,TINY,1
1975,F,TONYA,1
1975,F,TRICIA,1
1975,F,YU,1
1975,F,ZELDA,1
1975,M,ADOPTION,1
1975,M,AGAMEMNON,1
1975,M,ALBE,1
1975,M,ALFY,1
1975,M,ANDRE,1
1975,M,APOLLO,1
1975,M,ARAGORN,1
1975,M,BAMBI,1
1975,M,BAREN,1
1975,M,BEAU,1
1975,M,BEN,1
1975,M,BENGI,1
1975,M,BENJI,4
1975,M,BEOJOE,1
1975,M,BIJOU,1
1975,M,BILLY,2
1975,M,BINGO,1
1975,M,BLACKIE,2
1975,M,BO,1
1975,M,BOCKY,1
1975,M,BRANDY,1
1975,M,BROWNIE,1
1975,M,BROWNY,1
1975,M,BRUNO,1
1975,M,BRUTUS,1
1975,M,BUBBA,1
1975,M,BUDDEE,1
1975,M,BUDDY,1
1975,M,BUFFY,1
1975,M,BUTTONS,1
1975,M,CAINE,2
1975,M,CEASAR,1
1975,M,CEASER,1
1975,M,CEAZAR,1
1975,M,CHAD,1
1975,M,CHAIDIR,1
1975,M,CHARLEY,2
1975,M,CHARLIE,2
1975,M,CHICO,1
1975,M,CHINO,1
1975,M,CHIP,1
1975,M,CHIPPY,1
1975,M,CHOO,1
1975,M,CLARENCE,1
1975,M,CLEOPATRA,2
1975,M,COCO,1
1975,M,COFFEE,1
1975,M,CONEY,1
1975,M,COP,1
1975,M,DUFFY,1
1975,M,DUKE,1
1975,M,DUSTY,1
1975,M,FRIAR,1
1975,M,GAYLORD,1
1975,M,HAPPY,2
1975,M,HENRY,1
1975,M,HUTCH,1
1975,M,JACK,1
1975,M,JACKIE,1
1975,M,JACKY,1
1975,M,JEAN,1
1975,M,JEAN-JEAN,1
1975,M,JEFF,1
1975,M,JEFFY,1
1975,M,JIM,1
1975,M,JOSE,1
1975,M,KARNEY,1
1975,M,KING,2
1975,M,LASSIE,2
1975,M,LEE,1
1975,M,LOBITO,1
1975,M,LOBO,1
1975,M,LOBY,1
1975,M,LOUIE,2
1975,M,LUCKY,4
1975,M,LUCY,1
1975,M,MAC,1
1975,M,MAI,1
1975,M,MAJOR,1
1975,M,MALANDRO,1
1975,M,MAX,2
1975,M,MAXI,1
1975,M,MEG,1
1975,M,MICKEY,1
1975,M,MONTY,1
1975,M,MURPHY,1
1975,M,NAPPY,1
1975,M,NU,1
1975,M,OLIVER,1
1975,M,ONYX,1
1975,M,PACO,1
1975,M,PAOLLO,1
1975,M,PARKEE,1
1975,M,PEANUTS,1
1975,M,PEICHIE,1
1975,M,PEPE,1
1975,M,PEPE-PIERR,1
1975,M,PEPPER,2
1975,M,PEPPY,1
1975,M,PETE,1
1975,M,PETEY,3
1975,M,POCHOCHO,1
1975,M,POGO,1
1975,M,POOKIE,1
1975,M,POPOVER,1
1975,M,PREGO,1
1975,M,PRINCE,1
1975,M,PUSEK,1
1975,M,RALF,1
1975,M,RANDY,1
1975,M,RASCAL,1
1975,M,REBEL,1
1975,M,REGGIE,1
1975,M,REGINALD,1
1975,M,REX,1
1975,M,REXY,1
1975,M,RIPPER,1
1975,M,ROCKY,1
1975,M,RUSTY,2
1975,M,SABU,1
1975,M,SANDY,3
1975,M,SCHAEFFER,1
1975,M,SCOTTIE,1
1975,M,SHADOW,1
1975,M,SHANTZ,1
1975,M,SHARPER,1
1975,M,SMOKEY,3
1975,M,SNOOPY,1
1975,M,SPALSH,1
1975,M,SPEEDY,1
1975,M,SPORT,1
1975,M,SPUNKY,2
1975,M,STAR,1
1975,M,STARSKY,1
1975,M,STINKY,1
1975,M,SUSON,1
1975,M,TERRY,1
1975,M,TIM,1
1975,M,TINY,3
1975,M,TIPPY,1
1975,M,TITUS,1
1975,M,TOBBY,1
1975,M,TOBY,1
1975,M,TODD,1
1975,M,TODO,1
1975,M,TSOLIAS,1
1975,M,TYKE,1
1975,M,WILLIE,2
1976, ,GI,1
1976, ,MUFFINQ,1
1976, ,ROCKY,1
1976, ,SNOOPY,1
1976, ,TOBY,1
1976,F,4SOPHIE,1
1976,F,ABBY,1
1976,F,AFFIE,1
1976,F,AJA,1
1976,F,ANGEL,3
1976,F,ANNIE,2
1976,F,ARROW,1
1976,F,BAMBI,2
1976,F,BARBIE,1
1976,F,BEAUTY,1
1976,F,BETTY,1
1976,F,BIBI,1
