RowNum,BirthYear,animalGender,AnimalName,ZipCode,DogCount
1,2018,M,ARCHIE,11423,1
1,2018,M,CANELO,11426,1
1,2018,M,DENAHI,11427,1
1,2018,M,BRUNO,11428,1
1,2018,M,BEHARRY,11429,1
1,2018,M,BAGEL,11432,1
1,2018,M,BEBE,11433,1
1,2018,M,ANDERSON,11434,1
1,2018,M,MAX,11435,3
1,2018,M,BROOKLYN,11436,2
1,2018,M,BULLET,11550,1
1,2018,M,THUMPER,11570,1
1,2018,M,MELIHOV,11572,1
1,2018,M,OSCAR,11580,1
1,2018,M,MILLER,11581,1
1,2018,M,AUGGIE,11691,1
1,2018,M,BENJI,11692,1
1,2018,M,BENTLEY,11693,1
1,2018,M,A-ROD,11694,1
1,2018,M,MAX,11701,1
1,2018,M,BENJI,11706,1
1,2018,M,VORTEX,11717,1
1,2018,M,MAXIMUS,11722,1
1,2018,M,LITTLE,11758,1
1,2018,M,JIA,11790,1
1,2018,M,ASTRO,11791,1
1,2018,M,SHIH-TZU,11965,1
1,2018,M,WHYLIE,12303,1
1,2018,M,KING,12590,1
1,2018,M,ALFRED,13370,1
1,2018,M,ZEUS,33428,1
1,2018,M,PRINCE,60564,1
