RowNum,BirthYear,animalGender,AnimalName,DogCount
6,1992,F,DAISY,72
7,1992,F,SASHA,66
8,1992,F,BABY,62
9,1992,F,SANDY,58
10,1992,F,BRANDY,54
1,1993,F,PRINCESS,169
2,1993,F,LADY,152
3,1993,F,SHEBA,101
4,1993,F,DAISY,86
5,1993,F,SAMANTHA,74
6,1993,F,SANDY,68
7,1993,F,SASHA,62
8,1993,F,GINGER,60
9,1993,F,BRANDY,51
10,1993,F,CASEY,51
1,1994,F,PRINCESS,176
2,1994,F,LADY,153
3,1994,F,SANDY,90
4,1994,F,SHEBA,73
5,1994,F,BRANDY,65
6,1994,F,DAISY,64
7,1994,F,PEBBLES,60
8,1994,F,GINGER,59
9,1994,F,SASHA,58
10,1994,F,MISSY,53
1,1995,F,PRINCESS,191
2,1995,F,LADY,129
3,1995,F,DAISY,90
4,1995,F,SANDY,90
5,1995,F,SHEBA,79
6,1995,F,BRANDY,75
7,1995,F,MOLLY,70
8,1995,F,SASHA,69
9,1995,F,COCO,65
10,1995,F,LUCY,64
1,1996,F,PRINCESS,170
2,1996,F,LADY,154
3,1996,F,LUCY,84
4,1996,F,DAISY,83
5,1996,F,GINGER,72
6,1996,F,SASHA,71
7,1996,F,SHEBA,71
8,1996,F,BRANDY,69
9,1996,F,COCO,67
10,1996,F,MAGGIE,62
1,1997,F,PRINCESS,201
2,1997,F,LADY,126
3,1997,F,MOLLY,86
4,1997,F,GINGER,85
5,1997,F,SANDY,82
6,1997,F,DAISY,80
7,1997,F,LUCY,80
8,1997,F,BRANDY,75
9,1997,F,BABY,72
10,1997,F,XENA,71
1,1998,F,PRINCESS,225
2,1998,F,N.A.,172
3,1998,F,LADY,154
4,1998,F,DAISY,104
5,1998,F,GINGER,94
6,1998,F,LUCY,91
7,1998,F,COCO,80
8,1998,F,DIAMOND,80
9,1998,F,BABY,76
10,1998,F,BRANDY,71
1,1999,F,PRINCESS,206
2,1999,F,LADY,126
3,1999,F,N.A.,122
4,1999,F,DAISY,120
5,1999,F,GINGER,98
6,1999,F,LUCY,90
7,1999,F,COCO,79
8,1999,F,SANDY,76
9,1999,F,SASHA,74
10,1999,F,ZOE,73
1,2000,F,PRINCESS,399
2,2000,F,LADY,271
3,2000,F,DAISY,157
4,2000,F,LUCY,150
5,2000,F,GINGER,124
6,2000,F,BABY,122
7,2000,F,DIAMOND,116
8,2000,F,SANDY,114
9,2000,F,SHEBA,109
10,2000,F,MISSY,105
1,2001,F,PRINCESS,227
2,2001,F,LADY,120
3,2001,F,DAISY,105
4,2001,F,LUCY,105
5,2001,F,BELLA,95
6,2001,F,PRECIOUS,91
7,2001,F,DIAMOND,84
8,2001,F,MAGGIE,82
9,2001,F,GINGER,79
10,2001,F,MOLLY,75
1,2002,F,PRINCESS,222
2,2002,F,DAISY,123
3,2002,F,LOLA,117
4,2002,F,BELLA,108
5,2002,F,LADY,106
6,2002,F,LUCY,89
7,2002,F,MOLLY,83
8,2002,F,DIAMOND,80
9,2002,F,ROXY,74
10,2002,F,GINGER,73
1,2003,F,PRINCESS,221
2,2003,F,LUCY,141
3,2003,F,BELLA,135
4,2003,F,LOLA,109
5,2003,F,DAISY,104
6,2003,F,LADY,99
7,2003,F,COCO,91
8,2003,F,MOLLY,91
9,2003,F,ROXY,84
10,2003,F,MAGGIE,83
1,2004,F,PRINCESS,213
2,2004,F,BELLA,152
3,2004,F,LOLA,121
4,2004,F,COCO,113
5,2004,F,LUCY,112
6,2004,F,LADY,106
7,2004,F,DAISY,101
8,2004,F,PRECIOUS,92
9,2004,F,BABY,86
10,2004,F,SASHA,85
1,2005,F,PRINCESS,204
2,2005,F,LOLA,182
3,2005,F,BELLA,181
4,2005,F,LUCY,134
5,2005,F,COCO,130
6,2005,F,DAISY,127
7,2005,F,LADY,103
8,2005,F,MOLLY,86
9,2005,F,GINGER,82
10,2005,F,CHLOE,77
1,2006,F,PRINCESS,245
2,2006,F,BELLA,195
3,2006,F,LOLA,162
4,2006,F,COCO,158
5,2006,F,LADY,123
6,2006,F,LUCY,110
7,2006,F,DAISY,105
8,2006,F,MOLLY,98
9,2006,F,DIAMOND,92
10,2006,F,COOKIE,87
1,2007,F,PRINCESS,246
2,2007,F,BELLA,221
3,2007,F,LOLA,215
4,2007,F,COCO,167
5,2007,F,DAISY,152
6,2007,F,LUCY,137
7,2007,F,MOLLY,123
8,2007,F,LADY,98
9,2007,F,SASHA,98
10,2007,F,CHLOE,93
1,2008,F,BELLA,278
2,2008,F,PRINCESS,228
3,2008,F,LOLA,189
4,2008,F,COCO,154
5,2008,F,DAISY,152
6,2008,F,LUCY,129
7,2008,F,CHLOE,112
8,2008,F,MOLLY,102
9,2008,F,DIAMOND,97
10,2008,F,ROXY,92
1,2009,F,BELLA,304
2,2009,F,PRINCESS,208
3,2009,F,LOLA,188
4,2009,F,LUCY,152
5,2009,F,COCO,148
6,2009,F,CHLOE,141
7,2009,F,DAISY,127
8,2009,F,ROXY,96
9,2009,F,SASHA,90
10,2009,F,MIA,89
1,2010,F,BELLA,308
2,2010,F,LOLA,188
